loop,recall_15,SFS,num selected features,feature idx,n_neighbors
1,0.3285714285714286,SFS,1,"(5,)",4
2,0.8857142857142858,SFS,6,"(0, 1, 2, 4, 5, 7)",2
3,0.8857142857142858,SFS,2,"(4, 5)",4
4,0.9,SFS,4,"(0, 2, 4, 5)",5
5,0.9142857142857143,SFS,3,"(4, 5, 6)",3
6,0.8857142857142858,SFS,5,"(0, 2, 4, 5, 6)",6
7,0.8428571428571429,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
8,0.3714285714285714,SFS,1,"(5,)",3
9,0.9,SFS,5,"(0, 1, 4, 5, 7)",7
10,0.8857142857142858,SFS,2,"(4, 5)",4
11,0.32857142857142857,SFS,1,"(5,)",9
12,0.2714285714285714,SFS,1,"(2,)",5
13,0.9,SFS,3,"(0, 4, 5)",2
14,0.9,SFS,3,"(0, 4, 5)",2
15,0.9142857142857143,SFS,6,"(0, 1, 2, 4, 5, 7)",5
16,0.8857142857142856,SFS,4,"(2, 4, 5, 7)",8
17,0.2714285714285714,SFS,1,"(2,)",5
18,0.9142857142857143,SFS,5,"(0, 3, 4, 5, 7)",1
19,0.9142857142857143,SFS,6,"(0, 1, 2, 4, 5, 7)",5
20,0.9142857142857143,SFS,5,"(1, 3, 4, 5, 6)",3
