loop,f1_score_micro,SFS,num selected features,feature idx,n_neighbors
1,0.31008403361344544,SBS,1,"(7,)",4
2,0.7470588235294118,SBS,2,"(4, 7)",6
3,0.7655462184873949,SFS,3,"(0, 4, 7)",8
4,0.7529411764705882,SBS,3,"(0, 4, 7)",9
5,0.7495798319327731,SFS,2,"(0, 4)",1
6,0.7327731092436977,SFS,2,"(0, 4)",6
7,0.8117647058823529,SBS,4,"(0, 4, 6, 7)",2
8,0.7663865546218487,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",4
9,0.7756302521008402,SBS,6,"(0, 2, 3, 4, 5, 7)",5
10,0.7983193277310924,SFS,6,"(0, 2, 3, 4, 5, 7)",2
11,0.7815126050420168,SFS,5,"(0, 4, 5, 6, 7)",4
12,0.8142857142857143,SBS,3,"(0, 3, 4)",3
13,0.7756302521008402,SBS,6,"(0, 2, 3, 4, 5, 7)",5
14,0.7478991596638656,SBS,7,"(0, 1, 2, 4, 5, 6, 7)",8
15,0.7890756302521009,SFS,3,"(0, 4, 5)",4
16,0.76890756302521,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
17,0.4,SFS,1,"(0,)",3
18,0.39243697478991596,SFS,1,"(0,)",1
19,0.8142857142857143,SBS,4,"(0, 3, 4, 5)",3
20,0.7739495798319328,SFS,5,"(0, 2, 3, 4, 7)",5
