loop,f1_score_2,SFS,num selected features,feature idx,n_neighbors
1,0.8763971795614797,SFS,2,"(4, 5)",2
2,0.6420518207282914,SFS,6,"(0, 2, 3, 4, 5, 7)",6
3,0.7558743842364531,SFS,3,"(0, 4, 6)",3
4,0.7806353767560663,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",1
5,0.5519047619047619,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
6,0.7336596218020022,SFS,2,"(2, 4)",7
7,0.9342450142450144,SFS,2,"(4, 5)",1
8,0.7363109010011124,SFS,2,"(0, 4)",6
9,0.6015921830356168,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
10,0.35985288554810246,SFS,1,"(5,)",1
11,0.7022205890142487,SFS,4,"(0, 3, 4, 6)",4
12,0.6972648587971169,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
13,0.6200279290601871,SFS,5,"(0, 3, 4, 5, 7)",8
14,0.6230626622172785,SFS,6,"(0, 1, 3, 4, 5, 7)",8
15,0.5519047619047619,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
16,0.3677304147465438,SFS,1,"(0,)",8
17,0.6111708980674498,SFS,4,"(0, 2, 4, 7)",9
18,0.4132168030045789,SFS,1,"(0,)",3
19,0.4273891625615763,SFS,1,"(2,)",9
20,0.6015921830356168,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
