loop,recall_10,SFS,num selected features,feature idx,n_neighbors
1,0.5714285714285714,SFS,5,"(1, 3, 5, 6, 7)",3
2,0.5857142857142856,SFS,5,"(1, 3, 5, 6, 7)",1
3,0.6285714285714287,SFS,5,"(0, 1, 2, 4, 6)",9
4,0.5,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
5,0.5428571428571428,SFS,1,"(6,)",5
6,0.6285714285714287,SFS,5,"(0, 1, 2, 4, 6)",9
7,0.6714285714285714,SFS,4,"(0, 1, 4, 6)",6
8,0.6285714285714287,SFS,3,"(0, 1, 6)",7
9,0.6285714285714287,SFS,4,"(0, 1, 4, 6)",7
10,0.5428571428571429,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
11,0.6142857142857143,SFS,4,"(0, 1, 4, 6)",5
12,0.6428571428571429,SFS,6,"(0, 1, 2, 4, 5, 6)",2
13,0.6571428571428573,SFS,5,"(1, 2, 3, 4, 6)",4
14,0.48571428571428577,SFS,1,"(0,)",6
15,0.5,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
16,0.7142857142857143,SFS,2,"(4, 6)",5
17,0.6714285714285714,SFS,4,"(0, 1, 4, 6)",6
18,0.6,SFS,4,"(1, 3, 6, 7)",3
19,0.6571428571428571,SFS,3,"(2, 4, 6)",8
20,0.5714285714285714,SFS,5,"(1, 3, 5, 6, 7)",3
