loop,precision_6,SFS,num selected features,feature idx,n_neighbors
1,0.8084471084471085,SFS,3,"(0, 2, 4)",5
2,0.665050505050505,SFS,6,"(0, 2, 4, 5, 6, 7)",6
3,0.34199134199134196,SFS,1,"(4,)",3
4,0.6551282051282052,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
5,0.8578571428571429,SFS,4,"(0, 2, 4, 7)",4
6,0.8770979020979022,SFS,6,"(0, 2, 4, 5, 6, 7)",2
7,0.9400000000000001,SFS,2,"(4, 6)",2
8,0.8863095238095238,SFS,4,"(4, 5, 6, 7)",1
9,0.7755128205128206,SFS,3,"(0, 4, 6)",8
10,0.36966817496229265,SFS,1,"(6,)",9
11,0.8309848484848485,SFS,5,"(0, 4, 5, 6, 7)",1
12,0.5897435897435898,SFS,6,"(0, 2, 4, 5, 6, 7)",7
13,0.6291208791208791,SFS,4,"(0, 2, 4, 6)",9
14,0.6291208791208791,SFS,4,"(0, 2, 4, 6)",9
15,0.9400000000000001,SFS,2,"(4, 6)",2
16,0.6687878787878787,SFS,5,"(0, 2, 4, 6, 7)",8
17,0.9205128205128205,SFS,4,"(0, 4, 6, 7)",2
18,0.9414335664335663,SFS,3,"(4, 6, 7)",2
19,0.8578571428571429,SFS,4,"(0, 2, 4, 7)",4
20,0.3568151147098515,SFS,1,"(6,)",2
