loop,recall_12,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",3
2,1.0,SFS,5,"(0, 1, 2, 3, 4)",4
3,1.0,SFS,3,"(0, 1, 3)",3
4,1.0,SFS,3,"(0, 1, 3)",2
5,1.0,SFS,4,"(0, 1, 3, 6)",7
6,1.0,SFS,5,"(0, 1, 2, 3, 4)",4
7,1.0,SFS,4,"(0, 1, 2, 3)",4
8,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",9
9,0.5,SFS,1,"(0,)",5
10,0.3,SFS,1,"(3,)",2
11,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",3
12,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
13,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",6
14,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",3
15,1.0,SFS,3,"(0, 1, 3)",5
16,0.3,SFS,1,"(3,)",2
17,1.0,SFS,3,"(0, 1, 3)",1
18,1.0,SFS,3,"(0, 1, 3)",1
19,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",9
20,1.0,SFS,3,"(0, 3, 6)",7
