loop,precision_2,SFS,num selected features,feature idx,n_neighbors
1,0.4751196172248804,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",8
2,0.3333333333333333,SFS,1,"(4,)",2
3,0.7926050420168067,SFS,5,"(3, 4, 5, 6, 7)",1
4,0.7686602870813397,SFS,6,"(0, 3, 4, 5, 6, 7)",1
5,0.3317829457364341,SFS,1,"(4,)",3
6,0.5612698412698413,SFS,6,"(0, 2, 3, 4, 5, 6)",9
7,0.5999242424242424,SFS,4,"(0, 2, 3, 4)",5
8,0.9012698412698412,SFS,3,"(4, 5, 7)",1
9,0.6040073008608478,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
10,0.6880325814536341,SFS,4,"(0, 3, 4, 5)",3
11,0.5027319902319902,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",7
12,0.4981424148606811,SFS,6,"(0, 1, 2, 4, 6, 7)",6
13,0.4751196172248804,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",8
14,0.6407680039258986,SFS,3,"(0, 2, 4)",7
15,0.8559936795230912,SFS,4,"(4, 5, 6, 7)",1
16,0.5423706702654071,SFS,5,"(0, 1, 2, 4, 6)",6
17,0.5524337427278604,SFS,5,"(0, 2, 4, 6, 7)",7
18,0.8533910533910534,SFS,2,"(3, 4)",3
19,0.5828081232492998,SFS,5,"(0, 2, 3, 4, 5)",9
20,0.28439782439782435,SFS,1,"(0,)",7
