loop,recall_11,SFS,num selected features,feature idx,n_neighbors
1,0.7,SFS,2,"(0, 6)",6
2,0.8571428571428571,SFS,3,"(0, 1, 6)",7
3,0.8,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
4,0.8857142857142858,SFS,6,"(0, 1, 2, 5, 6, 7)",5
5,0.7714285714285715,SFS,5,"(1, 2, 3, 4, 6)",2
6,0.7,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
7,0.8,SFS,4,"(0, 1, 2, 6)",8
8,0.8714285714285713,SFS,5,"(0, 1, 2, 4, 6)",1
9,0.8,SFS,2,"(0, 6)",7
10,0.8428571428571427,SFS,5,"(0, 1, 2, 3, 6)",9
11,0.8571428571428571,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",1
12,0.6,SFS,1,"(6,)",4
13,0.8857142857142858,SFS,6,"(0, 1, 2, 5, 6, 7)",5
14,0.7714285714285715,SFS,6,"(0, 1, 2, 3, 4, 6)",8
15,0.7,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
16,0.6,SFS,1,"(6,)",8
17,0.7714285714285715,SFS,5,"(0, 1, 2, 3, 6)",4
18,0.8571428571428571,SFS,6,"(0, 1, 2, 3, 4, 6)",1
19,0.7714285714285715,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",4
20,0.8571428571428571,SFS,3,"(1, 2, 6)",9
