loop,accuracy,SFS,num selected features,feature idx,n_neighbors
1,0.7100840336134453,SFS,2,"(0, 4)",9
2,0.8,SFS,5,"(0, 3, 4, 5, 6)",2
3,0.8042016806722689,SFS,4,"(0, 4, 5, 6)",4
4,0.8016806722689076,SFS,4,"(0, 4, 5, 6)",5
5,0.7949579831932773,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
6,0.7798319327731092,SFS,5,"(0, 4, 5, 6, 7)",6
7,0.7672268907563026,SFS,4,"(0, 2, 4, 5)",8
8,0.823529411764706,SFS,4,"(0, 4, 5, 6)",3
9,0.773109243697479,SFS,3,"(0, 4, 5)",9
10,0.7638655462184873,SFS,5,"(0, 2, 4, 5, 7)",8
11,0.8151260504201681,SFS,5,"(0, 4, 5, 6, 7)",3
12,0.7100840336134453,SFS,2,"(0, 4)",9
13,0.7949579831932773,SFS,3,"(0, 4, 6)",2
14,0.8058823529411765,SFS,4,"(0, 4, 5, 6)",2
15,0.7949579831932773,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
16,0.846218487394958,SFS,6,"(0, 2, 3, 4, 5, 7)",1
17,0.7873949579831934,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
18,0.7873949579831934,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
19,0.846218487394958,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
20,0.7588235294117647,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
