loop,recall_5,SFS,num selected features,feature idx,n_neighbors
1,0.9857142857142858,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
2,1.0,SBS,3,"(0, 1, 3)",5
3,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",8
4,0.8428571428571429,SBS,3,"(0, 1, 3)",2
5,0.9857142857142858,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
6,1.0,SBS,5,"(0, 1, 2, 3, 4)",8
7,1.0,SBS,3,"(0, 1, 3)",9
8,0.9142857142857144,SBS,2,"(0, 3)",1
9,0.9714285714285715,SBS,7,"(0, 1, 2, 3, 4, 5, 6)",4
10,0.9857142857142858,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
11,0.7857142857142857,SBS,1,"(3,)",9
12,0.8428571428571429,SFS,6,"(0, 1, 2, 3, 4, 5)",2
13,1.0,SBS,1,"(3,)",1
14,0.8571428571428571,SBS,2,"(0, 1)",2
15,0.8428571428571429,SBS,5,"(0, 1, 2, 3, 4)",2
16,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",8
17,0.9714285714285715,SBS,5,"(0, 1, 2, 3, 4)",4
18,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",7
19,1.0,SFS,1,"(7,)",9
20,0.9857142857142858,SBS,2,"(0, 3)",3
