loop,precision_8,SFS,num selected features,feature idx,n_neighbors
1,0.8664511958629605,SFS,5,"(0, 2, 3, 4, 6)",5
2,0.9243697478991596,SFS,3,"(0, 4, 5)",4
3,0.8645098039215686,SFS,6,"(0, 1, 2, 3, 4, 6)",5
4,0.8471428571428572,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",4
5,0.851388888888889,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",1
6,0.8471428571428572,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",4
7,0.8664511958629605,SFS,5,"(0, 2, 3, 4, 6)",5
8,0.9018907563025211,SFS,3,"(0, 1, 4)",3
9,0.8494444444444446,SFS,6,"(0, 2, 4, 5, 6, 7)",6
10,0.7801282051282051,SFS,1,"(0,)",3
11,0.9243697478991596,SFS,4,"(0, 4, 5, 7)",4
12,0.8365873015873018,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
13,0.8626709401709401,SFS,5,"(0, 1, 2, 4, 6)",1
14,0.8664511958629605,SFS,5,"(0, 2, 3, 4, 6)",5
15,0.8381907308377897,SFS,2,"(0, 4)",1
16,0.7755513784461152,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",8
17,0.9733333333333334,SFS,3,"(0, 4, 5)",6
18,0.8703296703296702,SFS,4,"(0, 2, 4, 5)",7
19,0.7755513784461152,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",8
20,0.9091666666666667,SFS,6,"(0, 1, 2, 3, 4, 6)",3
