loop,recall_13,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,5,"(0, 1, 2, 3, 6)",5
2,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
3,1.0,SFS,3,"(0, 1, 6)",7
4,1.0,SFS,4,"(0, 1, 3, 6)",6
5,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
6,1.0,SFS,2,"(0, 6)",7
7,1.0,SFS,5,"(0, 1, 2, 3, 6)",6
8,1.0,SFS,5,"(0, 1, 2, 6, 7)",1
9,1.0,SFS,5,"(0, 1, 2, 3, 6)",3
10,1.0,SFS,2,"(6, 7)",1
11,1.0,SFS,3,"(0, 6, 7)",1
12,1.0,SFS,3,"(0, 5, 6)",2
13,1.0,SFS,3,"(0, 1, 6)",8
14,1.0,SFS,2,"(6, 7)",1
15,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",4
16,1.0,SFS,2,"(0, 6)",4
17,1.0,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",2
18,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
19,1.0,SFS,4,"(0, 1, 3, 6)",6
20,1.0,SFS,4,"(0, 1, 6, 7)",1
