loop,f1_score_macro,SFS,num selected features,feature idx,n_neighbors
1,0.8221169400356405,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
2,0.3404667462562757,SFS,1,"(0,)",2
3,0.7650004371157204,SFS,3,"(0, 4, 5)",7
4,0.7650004371157204,SFS,3,"(0, 4, 5)",7
5,0.7125184786662978,SFS,2,"(0, 4)",2
6,0.7875085209030654,SFS,5,"(0, 4, 5, 6, 7)",4
7,0.8221169400356405,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
8,0.7450268464528149,SFS,5,"(0, 2, 4, 5, 6)",9
9,0.7838538583376906,SFS,6,"(0, 3, 4, 5, 6, 7)",4
10,0.7513372305702858,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",7
11,0.7413671938890246,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
12,0.7450268464528149,SFS,5,"(0, 2, 4, 5, 6)",9
13,0.8105694636117755,SFS,5,"(0, 4, 5, 6, 7)",3
14,0.3845909162551614,SFS,1,"(0,)",7
15,0.803486882494961,SFS,6,"(0, 2, 3, 4, 5, 6)",2
16,0.7585209227576699,SFS,5,"(0, 4, 5, 6, 7)",7
17,0.7836909566042255,SFS,5,"(0, 2, 4, 5, 6)",5
18,0.40087624021353435,SFS,1,"(0,)",5
19,0.7905644833968937,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
20,0.7875085209030654,SFS,5,"(0, 4, 5, 6, 7)",4
