loop,f1_score_7,SFS,num selected features,feature idx,n_neighbors
1,0.46345374931581834,SBS,6,"(1, 2, 3, 4, 5, 7)",8
2,0.4498939419179299,SFS,6,"(1, 2, 3, 5, 6, 7)",2
3,0.4931480284421461,SBS,6,"(1, 2, 3, 4, 5, 7)",9
4,0.6099967061923584,SFS,2,"(2, 5)",8
5,0.48864646464646466,SFS,4,"(1, 2, 5, 6)",2
6,0.3681878306878307,SFS,1,"(2,)",7
7,0.8609126984126986,SBS,2,"(1, 5)",1
8,0.5387191874148396,SBS,4,"(1, 5, 6, 7)",2
9,0.5654025974025975,SFS,2,"(2, 5)",9
10,0.43000248793352247,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",8
11,0.4249326765188834,SBS,4,"(0, 2, 3, 7)",4
12,0.6237255644963555,SFS,6,"(1, 2, 3, 5, 6, 7)",1
13,0.4230372847764152,SBS,7,"(1, 2, 3, 4, 5, 6, 7)",2
14,0.48934579912840787,SFS,4,"(0, 1, 2, 5)",8
15,0.3138836503997794,SBS,1,"(5,)",7
16,0.39970344470344477,SFS,5,"(0, 1, 2, 3, 5)",8
17,0.5654025974025975,SFS,2,"(2, 5)",9
18,0.41307346326836586,SFS,6,"(0, 1, 2, 3, 5, 7)",4
19,0.46201058201058204,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",9
20,0.5438887093298859,SFS,3,"(1, 2, 5)",7
