loop,recall_8,SFS,num selected features,feature idx,n_neighbors
1,0.7285714285714286,SFS,2,"(0, 4)",9
2,0.7428571428571429,SFS,2,"(0, 4)",5
3,0.9428571428571428,SFS,3,"(0, 4, 6)",3
4,0.8285714285714286,SFS,4,"(0, 2, 4, 6)",4
5,0.8714285714285716,SFS,6,"(0, 2, 3, 4, 5, 6)",7
6,0.7142857142857143,SFS,2,"(0, 4)",7
7,0.9857142857142858,SFS,3,"(0, 4, 7)",1
8,0.9714285714285715,SFS,4,"(0, 4, 5, 7)",1
9,0.8571428571428571,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
10,0.8571428571428571,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
11,0.8285714285714285,SFS,5,"(0, 2, 4, 5, 6)",9
12,0.8428571428571429,SFS,4,"(0, 2, 4, 5)",9
13,0.7857142857142858,SFS,6,"(0, 2, 4, 5, 6, 7)",9
14,0.8285714285714285,SFS,5,"(0, 4, 5, 6, 7)",2
15,0.8428571428571429,SFS,4,"(0, 2, 4, 6)",8
16,0.8285714285714286,SFS,4,"(0, 2, 4, 6)",4
17,0.7428571428571429,SFS,2,"(0, 4)",5
18,0.7714285714285715,SFS,6,"(0, 1, 2, 4, 6, 7)",4
19,0.8714285714285716,SFS,6,"(0, 2, 3, 4, 5, 6)",7
20,0.8428571428571429,SFS,3,"(0, 4, 6)",4
