loop,recall_7,SFS,num selected features,feature idx,n_neighbors
1,0.6428571428571429,SFS,5,"(0, 1, 2, 3, 5)",1
2,0.8857142857142858,SFS,2,"(1, 5)",5
3,0.45714285714285713,SFS,4,"(0, 1, 2, 5)",9
4,0.42857142857142855,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",5
5,0.5142857142857142,SFS,3,"(0, 2, 5)",9
6,0.41428571428571426,SFS,5,"(0, 1, 2, 5, 6)",4
7,0.5571428571428572,SFS,4,"(0, 1, 5, 6)",5
8,0.5571428571428572,SFS,4,"(0, 1, 5, 6)",5
9,0.5142857142857143,SFS,4,"(0, 1, 2, 5)",7
10,0.3285714285714286,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",4
11,0.4714285714285714,SFS,4,"(0, 1, 2, 5)",6
12,0.6571428571428573,SFS,3,"(1, 5, 6)",4
13,0.45714285714285713,SFS,4,"(0, 1, 2, 5)",8
14,0.6,SFS,3,"(0, 2, 5)",7
15,0.6428571428571429,SFS,4,"(0, 2, 3, 5)",1
16,0.6714285714285714,SFS,2,"(2, 5)",6
17,0.41428571428571426,SFS,5,"(0, 1, 2, 3, 5)",8
18,0.4142857142857143,SFS,6,"(0, 1, 2, 3, 5, 7)",6
19,0.4714285714285714,SFS,1,"(2,)",8
20,0.4142857142857143,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",7
