loop,f1_score_8,SFS,num selected features,feature idx,n_neighbors
1,0.8084615384615385,SFS,5,"(0, 3, 4, 5, 7)",9
2,0.9045339845339845,SFS,6,"(0, 2, 4, 5, 6, 7)",1
3,0.8022568829020441,SFS,5,"(0, 3, 4, 5, 7)",6
4,0.8492898282041775,SFS,4,"(0, 4, 5, 7)",9
5,0.6473925430447169,SFS,1,"(0,)",2
6,0.740229632436529,SFS,2,"(0, 4)",4
7,0.7976969696969697,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
8,0.8205128205128205,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
9,0.7568880394967351,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",6
10,0.6473925430447169,SFS,1,"(0,)",2
11,0.7962102747909199,SFS,6,"(0, 2, 3, 4, 5, 7)",9
12,0.6670163170163169,SFS,1,"(0,)",3
13,0.8876960408684547,SFS,4,"(0, 4, 5, 6)",2
14,0.7859259259259259,SFS,4,"(0, 3, 4, 5)",8
15,0.8465181771633384,SFS,3,"(0, 4, 7)",9
16,0.8716697918321945,SFS,6,"(0, 2, 3, 4, 5, 7)",3
17,0.8285166940339354,SFS,3,"(0, 3, 4)",8
18,0.9212362707535121,SFS,3,"(0, 4, 6)",1
19,0.80026525198939,SFS,2,"(0, 4)",8
20,0.6522621082621083,SFS,1,"(0,)",4
