loop,f1_score_6,SFS,num selected features,feature idx,n_neighbors
1,0.7479781061850028,SFS,3,"(0, 4, 6)",5
2,0.6383925729442972,SFS,3,"(4, 6, 7)",8
3,0.46419413919413915,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
4,0.3886362860556408,SFS,1,"(6,)",8
5,0.3647907647907648,SFS,1,"(6,)",3
6,0.7667980295566502,SFS,2,"(4, 6)",8
7,0.9124929476653614,SFS,3,"(4, 5, 7)",1
8,0.9787994891443168,SFS,2,"(4, 5)",1
9,0.6106428571428573,SFS,6,"(0, 2, 4, 5, 6, 7)",5
10,0.5954242424242424,SFS,4,"(0, 4, 6, 7)",8
11,0.8607104262276677,SFS,2,"(4, 6)",3
12,0.7062703962703962,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
13,0.6404408384043273,SFS,4,"(0, 4, 6, 7)",9
14,0.7112643678160919,SFS,5,"(3, 4, 5, 6, 7)",3
15,0.8313373471994161,SFS,2,"(4, 6)",6
16,0.70904071773637,SFS,3,"(0, 4, 6)",6
17,0.7309983896940419,SFS,3,"(4, 6, 7)",4
18,0.7112643678160919,SFS,5,"(3, 4, 5, 6, 7)",3
19,0.70904071773637,SFS,3,"(0, 4, 6)",6
20,0.8373260073260074,SFS,4,"(1, 4, 5, 7)",1
