loop,recall_15,SFS,num selected features,feature idx,n_neighbors
1,0.8285714285714286,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",9
2,0.9428571428571428,SFS,5,"(0, 1, 2, 4, 5)",2
3,0.8714285714285713,SFS,6,"(0, 1, 2, 4, 5, 7)",9
4,0.9428571428571428,SFS,3,"(0, 1, 4)",2
5,0.8857142857142858,SFS,5,"(1, 2, 4, 5, 7)",8
6,0.9142857142857143,SFS,3,"(2, 4, 5)",6
7,0.3142857142857143,SFS,1,"(5,)",1
8,0.9428571428571428,SFS,5,"(0, 1, 2, 4, 5)",2
9,0.9,SFS,5,"(0, 1, 4, 5, 7)",7
10,0.7428571428571428,SFS,2,"(1, 4)",2
11,0.2714285714285714,SFS,1,"(6,)",5
12,0.9142857142857143,SFS,2,"(4, 5)",6
13,0.3,SFS,1,"(5,)",6
14,0.3,SFS,1,"(5,)",6
15,0.9142857142857143,SFS,2,"(4, 5)",6
16,0.8857142857142858,SFS,5,"(1, 2, 4, 5, 7)",8
17,0.9571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",1
18,0.8857142857142858,SFS,4,"(1, 2, 4, 5)",8
19,0.17142857142857143,SFS,1,"(1,)",2
20,0.9142857142857144,SFS,2,"(4, 5)",1
