loop,f1_score_micro,SFS,num selected features,feature idx,n_neighbors
1,0.7957983193277312,SFS,5,"(0, 4, 5, 6, 7)",5
2,0.8260504201680673,SFS,3,"(4, 5, 6)",2
3,0.7890756302521009,SFS,3,"(0, 4, 5)",6
4,0.7756302521008402,SFS,3,"(0, 4, 7)",7
5,0.7949579831932773,SFS,5,"(0, 4, 5, 6, 7)",4
6,0.7647058823529411,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",7
7,0.7647058823529411,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",7
8,0.4260504201680672,SFS,1,"(0,)",7
9,0.42100840336134454,SFS,1,"(0,)",5
10,0.8142857142857143,SFS,5,"(0, 3, 4, 5, 6)",3
11,0.8126050420168067,SFS,3,"(0, 4, 5)",3
12,0.819327731092437,SFS,4,"(0, 3, 4, 5)",3
13,0.4235294117647059,SFS,1,"(0,)",8
14,0.7092436974789916,SFS,2,"(0, 4)",9
15,0.8100840336134454,SFS,5,"(3, 4, 5, 6, 7)",2
16,0.7563025210084033,SFS,5,"(0, 2, 3, 4, 5)",9
17,0.7789915966386554,SFS,5,"(0, 4, 5, 6, 7)",6
18,0.7756302521008402,SFS,3,"(0, 4, 7)",7
19,0.7487394957983193,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
20,0.819327731092437,SFS,4,"(0, 3, 4, 5)",3
