loop,f1_score_11,SFS,num selected features,feature idx,n_neighbors
1,0.837250482492418,SFS,6,"(0, 1, 2, 3, 4, 6)",7
2,0.8513991295442909,SFS,5,"(0, 1, 2, 3, 6)",3
3,0.8217948717948718,SFS,3,"(1, 2, 6)",2
4,0.7966291402331447,SFS,3,"(1, 2, 6)",6
5,0.783515958354668,SFS,5,"(0, 1, 2, 3, 6)",7
6,0.3178752535496957,SFS,1,"(2,)",6
7,0.8540555555555557,SFS,6,"(0, 1, 2, 4, 5, 6)",4
8,0.837250482492418,SFS,6,"(0, 1, 2, 3, 4, 6)",7
9,0.8037069597069596,SFS,5,"(0, 1, 2, 3, 6)",2
10,0.7684601318222009,SFS,2,"(2, 4)",4
11,0.8051030553099517,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
12,0.8314456391875747,SFS,6,"(0, 1, 2, 3, 4, 6)",6
13,0.37371081900910014,SFS,1,"(6,)",3
14,0.8037069597069596,SFS,5,"(0, 1, 2, 3, 6)",2
15,0.8159595625402076,SFS,6,"(0, 1, 2, 3, 4, 6)",8
16,0.8489440308795148,SFS,4,"(0, 1, 2, 6)",1
17,0.8575757575757577,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
18,0.8583730158730158,SFS,6,"(0, 1, 2, 3, 5, 6)",1
19,0.8540555555555557,SFS,6,"(0, 1, 2, 4, 5, 6)",4
20,0.8363188918361333,SFS,4,"(0, 1, 2, 6)",2
