loop,f1_score_11,SFS,num selected features,feature idx,n_neighbors
1,0.7669038496624703,SFS,4,"(0, 1, 2, 6)",6
2,0.734025974025974,SFS,2,"(2, 6)",5
3,0.7722867533323596,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
4,0.7651961320926838,SFS,4,"(0, 1, 2, 6)",9
5,0.7680740740740741,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
6,0.7727239554825761,SFS,4,"(0, 1, 2, 6)",8
7,0.7381424501424501,SFS,6,"(0, 1, 2, 3, 4, 6)",6
8,0.7104761904761904,SFS,2,"(2, 6)",7
9,0.7315649867374006,SFS,5,"(0, 1, 2, 3, 6)",9
10,0.7578551078551079,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
11,0.7578551078551079,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
12,0.7802197802197802,SFS,4,"(0, 2, 3, 4)",2
13,0.37616161616161614,SFS,1,"(6,)",7
14,0.25467700258397935,SFS,1,"(6,)",1
15,0.3734563021519543,SFS,1,"(6,)",8
16,0.7578551078551079,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
17,0.8234802043422732,SFS,6,"(0, 1, 2, 3, 4, 6)",1
18,0.8565072302558399,SFS,5,"(0, 1, 2, 3, 6)",3
19,0.6976582038651004,SFS,2,"(2, 6)",8
20,0.27058662515605014,SFS,1,"(2,)",2
