loop,precision_9,SFS,num selected features,feature idx,n_neighbors
1,0.7253119429590017,SFS,3,"(1, 4, 6)",6
2,0.5440592903828197,SFS,1,"(6,)",4
3,0.8967022193492783,SFS,4,"(1, 2, 4, 6)",1
4,0.7467064506962204,SFS,6,"(0, 1, 2, 4, 5, 6)",9
5,0.8956033182503772,SFS,3,"(2, 4, 6)",1
6,0.8858333333333335,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
7,0.8466339869281045,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",3
8,0.7161616161616161,SFS,3,"(1, 4, 6)",7
9,0.5123992045330719,SFS,1,"(6,)",7
10,0.7442732956160065,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
11,0.7760338345864662,SFS,2,"(4, 6)",3
12,0.8569281045751633,SFS,5,"(0, 1, 4, 5, 6)",2
13,0.7847540419676643,SFS,2,"(4, 6)",2
14,0.8583006535947713,SFS,6,"(0, 1, 2, 4, 5, 6)",3
15,0.501979797979798,SFS,1,"(6,)",6
16,0.7685947712418301,SFS,4,"(1, 4, 5, 6)",6
17,0.8466339869281045,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",3
18,0.7583006535947712,SFS,5,"(0, 1, 4, 5, 6)",8
19,0.6750724637681158,SFS,3,"(0, 1, 6)",8
20,0.6574922600619196,SFS,3,"(0, 1, 6)",9
