loop,f1_score_15,SFS,num selected features,feature idx,n_neighbors
1,0.937037037037037,SFS,5,"(0, 2, 3, 4, 5)",3
2,0.19089855072463766,SFS,1,"(0,)",2
3,0.9149857549857551,SFS,3,"(2, 4, 5)",7
4,0.9218233618233619,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
5,0.893821733821734,SFS,2,"(4, 5)",9
6,0.9298005698005698,SFS,6,"(0, 1, 2, 4, 5, 7)",5
7,0.8984615384615384,SFS,6,"(0, 1, 2, 4, 5, 7)",7
8,0.8762393162393163,SFS,4,"(0, 4, 5, 7)",9
9,0.9308812260536399,SFS,4,"(0, 2, 4, 5)",4
10,0.8762393162393163,SFS,4,"(0, 4, 5, 7)",9
11,0.9086000589448867,SFS,2,"(4, 5)",6
12,0.944955300127714,SFS,4,"(0, 2, 4, 5)",1
13,0.9375661375661375,SFS,3,"(0, 4, 5)",1
14,0.9251851851851851,SFS,6,"(0, 1, 2, 3, 4, 5)",1
15,0.9318518518518518,SFS,5,"(0, 1, 2, 4, 5)",1
16,0.8996011396011397,SFS,3,"(0, 4, 5)",8
17,0.8990313390313391,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",7
18,0.9306878306878307,SFS,3,"(0, 4, 5)",3
19,0.9308812260536399,SFS,4,"(0, 2, 4, 5)",4
20,0.9086000589448867,SFS,2,"(4, 5)",5
