loop,f1_score_15,SFS,num selected features,feature idx,n_neighbors
1,0.9478518518518518,SFS,3,"(3, 4, 6)",8
2,0.9708812260536399,SFS,6,"(0, 2, 3, 4, 5, 6)",3
3,0.9708812260536399,SFS,6,"(0, 2, 3, 4, 5, 6)",3
4,0.9400211640211641,SFS,5,"(3, 4, 5, 6, 7)",7
5,0.9560257111981251,SFS,2,"(4, 5)",3
6,0.8864105325729353,SFS,2,"(4, 6)",8
7,0.30154578754578754,SFS,1,"(2,)",6
8,0.9560257111981251,SFS,4,"(3, 4, 5, 6)",7
9,0.9178673178673179,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",9
10,0.9714103265827404,SFS,5,"(0, 2, 3, 4, 5)",3
11,0.9571246122970262,SFS,5,"(0, 3, 4, 6, 7)",1
12,0.9205246583057679,SFS,6,"(0, 1, 2, 4, 5, 7)",6
13,0.9623931623931623,SFS,6,"(0, 1, 4, 5, 6, 7)",2
14,0.268214568040655,SFS,1,"(1,)",2
15,0.9549857549857551,SFS,4,"(1, 4, 5, 7)",4
16,0.9549857549857551,SFS,4,"(1, 4, 5, 7)",4
17,0.9708994708994709,SFS,3,"(0, 4, 5)",3
18,0.34279638490164804,SFS,1,"(5,)",3
19,0.9555555555555557,SFS,5,"(1, 3, 4, 5, 7)",4
20,0.8459934318555009,SFS,2,"(2, 4)",6
