loop,f1_score_9,SFS,num selected features,feature idx,n_neighbors
1,0.8790998217468806,SFS,3,"(4, 5, 6)",6
2,0.9293937708565073,SFS,6,"(0, 1, 2, 4, 5, 6)",1
3,0.6126696770662289,SFS,1,"(6,)",7
4,0.809576429951408,SFS,2,"(4, 6)",5
5,0.8670913809957191,SFS,2,"(1, 6)",2
6,0.8472727272727273,SFS,2,"(1, 6)",4
7,0.9020737327188939,SFS,5,"(0, 1, 4, 5, 6)",3
8,0.8983333333333334,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
9,0.8569281045751633,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
10,0.8708485463150778,SFS,5,"(0, 1, 4, 5, 6)",7
11,0.809576429951408,SFS,2,"(4, 6)",5
12,0.5894363700815315,SFS,1,"(6,)",8
13,0.5604676565966888,SFS,1,"(6,)",9
14,0.4679147142456646,SFS,1,"(6,)",2
15,0.9293937708565073,SFS,6,"(0, 1, 2, 4, 5, 6)",1
16,0.9070177103099304,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",4
17,0.8569281045751633,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
18,0.8479201680672268,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",7
19,0.9056451612903226,SFS,4,"(0, 4, 5, 6)",5
20,0.4985185185185186,SFS,1,"(6,)",4
