loop,recall_micro,SFS,num selected features,feature idx,n_neighbors
1,0.7487394957983193,SFS,5,"(0, 2, 3, 4, 7)",9
2,0.8369747899159664,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
3,0.7630252100840336,SFS,5,"(0, 3, 4, 5, 7)",7
4,0.780672268907563,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
5,0.7857142857142858,SFS,4,"(0, 4, 6, 7)",4
6,0.7420168067226891,SFS,2,"(0, 4)",6
7,0.7210084033613446,SFS,2,"(0, 4)",2
8,0.8058823529411765,SFS,5,"(0, 3, 4, 5, 7)",3
9,0.7966386554621849,SFS,6,"(0, 2, 3, 4, 5, 7)",3
10,0.7621848739495798,SFS,6,"(0, 2, 3, 4, 5, 7)",7
11,0.780672268907563,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
12,0.7966386554621849,SFS,6,"(0, 2, 3, 4, 5, 7)",3
13,0.807563025210084,SFS,3,"(0, 4, 5)",3
14,0.7857142857142858,SFS,4,"(0, 4, 6, 7)",4
15,0.8420168067226891,SFS,4,"(0, 4, 5, 6)",1
16,0.7613445378151261,SFS,3,"(0, 4, 5)",8
17,0.8109243697478992,SFS,4,"(0, 3, 4, 5)",3
18,0.8100840336134454,SFS,6,"(0, 2, 3, 4, 5, 6)",2
19,0.7974789915966387,SFS,3,"(0, 4, 5)",5
20,0.7857142857142858,SFS,4,"(0, 4, 6, 7)",4
