loop,precision_7,SFS,num selected features,feature idx,n_neighbors
1,0.5035897435897436,SFS,5,"(1, 2, 5, 6, 7)",5
2,0.7256410256410255,SFS,4,"(1, 2, 5, 6)",1
3,0.4428571428571428,SFS,4,"(1, 2, 3, 5)",7
4,0.8708982683982684,SFS,2,"(1, 5)",8
5,0.5290909090909091,SFS,6,"(1, 2, 3, 5, 6, 7)",5
6,0.6693006993006992,SFS,6,"(1, 2, 3, 5, 6, 7)",1
7,0.7256410256410255,SFS,4,"(1, 2, 5, 6)",1
8,0.3841414141414142,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",8
9,0.5024853801169591,SFS,6,"(1, 3, 4, 5, 6, 7)",4
10,0.5345054945054944,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",5
11,0.40366541353383456,SFS,1,"(5,)",9
12,0.46573426573426574,SFS,5,"(1, 2, 3, 5, 7)",7
13,0.5501298701298701,SFS,4,"(1, 5, 6, 7)",4
14,0.6951282051282052,SFS,3,"(1, 5, 6)",4
15,0.7270238095238095,SFS,2,"(2, 5)",3
16,0.376984126984127,SFS,1,"(5,)",4
17,0.4602614379084967,SFS,6,"(1, 2, 3, 5, 6, 7)",7
18,0.3489316239316239,SFS,5,"(0, 1, 2, 5, 6)",9
19,0.6693006993006992,SFS,6,"(1, 2, 3, 5, 6, 7)",1
20,0.36951754385964913,SFS,1,"(5,)",6
