loop,precision_16,SFS,num selected features,feature idx,n_neighbors
1,0.96,SFS,3,"(0, 1, 5)",5
2,0.9380952380952381,SFS,4,"(1, 2, 5, 6)",8
3,0.9139926739926739,SFS,5,"(0, 1, 2, 5, 6)",1
4,0.9666666666666666,SFS,4,"(1, 2, 5, 6)",6
5,0.904812834224599,SBS,4,"(0, 3, 4, 5)",7
6,0.9380952380952381,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
7,1.0,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",4
8,0.9857142857142858,SBS,6,"(0, 1, 3, 4, 5, 7)",1
9,0.9454545454545455,SFS,4,"(1, 2, 5, 7)",4
10,0.9436363636363637,SBS,3,"(3, 4, 5)",9
11,0.6731313131313131,SFS,1,"(5,)",4
12,0.9436363636363637,SBS,3,"(3, 4, 5)",9
13,0.6371794871794871,SFS,1,"(5,)",3
14,1.0,SFS,2,"(2, 5)",9
15,0.9833333333333332,SBS,3,"(3, 5, 7)",5
16,0.9380952380952381,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
17,1.0,SBS,5,"(0, 3, 4, 5, 7)",3
18,0.96,SFS,3,"(0, 1, 5)",5
19,0.904812834224599,SBS,4,"(0, 3, 4, 5)",7
20,0.7276767676767677,SFS,1,"(5,)",7
