loop,recall_13,SFS,num selected features,feature idx,n_neighbors
1,0.6571428571428571,SFS,1,"(6,)",2
2,0.7,SFS,1,"(6,)",3
3,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
4,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
5,1.0,SFS,3,"(0, 1, 6)",9
6,0.9857142857142858,SFS,2,"(5, 6)",2
7,1.0,SFS,3,"(0, 1, 6)",9
8,0.6571428571428571,SFS,1,"(6,)",2
9,1.0,SFS,4,"(0, 1, 2, 6)",5
10,1.0,SFS,2,"(0, 6)",3
11,0.6857142857142857,SFS,1,"(6,)",1
12,1.0,SFS,4,"(0, 1, 2, 6)",8
13,1.0,SFS,3,"(0, 5, 6)",2
14,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
15,1.0,SFS,4,"(0, 1, 2, 6)",8
16,1.0,SFS,4,"(0, 1, 2, 6)",9
17,0.9,SFS,1,"(6,)",5
18,1.0,SFS,5,"(0, 1, 2, 3, 6)",6
19,1.0,SFS,5,"(0, 1, 2, 3, 6)",1
20,1.0,SFS,2,"(0, 6)",8
