loop,precision_5,SFS,num selected features,feature idx,n_neighbors
1,0.95,SFS,6,"(0, 1, 2, 3, 4, 5)",4
2,0.95,SFS,3,"(0, 1, 5)",7
3,0.95,SFS,4,"(0, 1, 2, 4)",5
4,0.95,SFS,2,"(0, 3)",1
5,0.95,SFS,4,"(0, 1, 2, 4)",5
6,0.95,SFS,5,"(0, 1, 2, 3, 5)",6
7,0.9366666666666668,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
8,0.95,SFS,3,"(0, 2, 3)",3
9,0.95,SFS,4,"(0, 1, 2, 4)",5
10,0.95,SFS,6,"(0, 1, 2, 3, 5, 6)",6
11,0.49938080495356035,SFS,1,"(2,)",2
12,0.95,SFS,4,"(0, 1, 2, 5)",8
13,0.9233333333333335,SFS,6,"(0, 1, 2, 3, 4, 6)",9
14,0.95,SFS,3,"(0, 1, 4)",5
15,0.9366666666666668,SFS,5,"(0, 1, 2, 4, 6)",9
16,0.95,SFS,2,"(0, 4)",5
17,0.95,SFS,3,"(0, 2, 3)",3
18,0.9366666666666668,SFS,3,"(0, 1, 4)",9
19,0.95,SFS,2,"(0, 4)",5
20,0.5099692325442764,SFS,1,"(0,)",9
