loop,f1_score_9,SFS,num selected features,feature idx,n_neighbors
1,0.8813636363636365,SFS,4,"(0, 1, 4, 6)",6
2,0.9263922877271042,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
3,0.8813636363636365,SFS,4,"(0, 1, 4, 6)",6
4,0.790156402737048,SFS,2,"(1, 6)",8
5,0.9139340007415647,SFS,6,"(0, 1, 2, 4, 5, 6)",3
6,0.8390998217468806,SFS,4,"(1, 4, 5, 6)",9
7,0.8603421309872923,SFS,6,"(0, 1, 2, 4, 5, 6)",9
8,0.8082081865004065,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",9
9,0.9220819428995182,SFS,5,"(1, 2, 4, 5, 6)",2
10,0.8760606060606062,SFS,5,"(0, 1, 2, 4, 6)",6
11,0.9220819428995182,SFS,4,"(1, 2, 4, 6)",2
12,0.8497399152571565,SFS,2,"(4, 6)",4
13,0.845603568895789,SFS,6,"(0, 1, 2, 4, 5, 6)",8
14,0.8856739811912225,SFS,3,"(4, 5, 6)",4
15,0.9520372430272319,SFS,4,"(1, 2, 4, 6)",1
16,0.8986754643206257,SFS,6,"(0, 1, 2, 4, 5, 6)",4
17,0.9203379416282642,SFS,4,"(0, 4, 5, 6)",3
18,0.5711484593837535,SFS,1,"(6,)",6
19,0.8497399152571565,SFS,2,"(4, 6)",4
20,0.5769799498746867,SFS,1,"(6,)",7
