loop,f1_score_1,SFS,num selected features,feature idx,n_neighbors
1,0.9458005698005698,SFS,5,"(0, 1, 3, 5, 6)",3
2,0.8590425971877584,SFS,2,"(2, 7)",2
3,0.9458005698005698,SFS,2,"(2, 3)",7
4,0.9378233618233617,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
5,0.9458005698005698,SFS,4,"(0, 4, 5, 7)",5
6,0.8625196086820113,SBS,6,"(0, 1, 2, 3, 4, 6)",2
7,0.5929102564102564,SFS,1,"(2,)",9
8,0.9458005698005698,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",7
9,0.9378233618233617,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",9
10,0.4634377731769036,SBS,1,"(3,)",3
11,0.9458005698005698,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",3
12,0.9378233618233617,SFS,5,"(0, 1, 2, 3, 7)",9
13,0.9325183220355633,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",4
14,0.9458005698005698,SFS,6,"(1, 2, 3, 4, 5, 7)",6
15,0.9458005698005698,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",7
16,0.9458005698005698,SBS,5,"(0, 1, 2, 3, 7)",6
17,0.9458005698005698,SFS,5,"(0, 1, 2, 3, 5)",7
18,0.9458005698005698,SBS,3,"(0, 1, 3)",5
19,0.9378233618233617,SBS,7,"(0, 1, 2, 3, 4, 5, 6)",9
20,0.9458005698005698,SFS,3,"(4, 5, 7)",6
