loop,f1_score_10,SFS,num selected features,feature idx,n_neighbors
1,0.6192393557910799,SFS,3,"(2, 4, 6)",2
2,0.6196613756613758,SFS,5,"(0, 1, 2, 4, 6)",8
3,0.6446060606060605,SBS,4,"(0, 2, 3, 4)",1
4,0.6353900134952767,SFS,6,"(0, 1, 3, 5, 6, 7)",3
5,0.302761453687319,SBS,1,"(3,)",3
6,0.5634569134569135,SFS,6,"(0, 1, 2, 4, 6, 7)",5
7,0.5541666666666666,SBS,2,"(3, 6)",3
8,0.6410885323826501,SBS,2,"(2, 6)",4
9,0.58494455994456,SFS,2,"(2, 6)",2
10,0.5988737954255196,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
11,0.6001725630691148,SBS,5,"(0, 2, 5, 6, 7)",9
12,0.6444057971014493,SFS,3,"(0, 1, 6)",5
13,0.6071686948966052,SBS,4,"(2, 3, 5, 6)",4
14,0.6211660931660932,SBS,7,"(0, 1, 2, 3, 4, 5, 6)",1
15,0.6038373021281567,SFS,3,"(0, 3, 5)",6
16,0.6353900134952767,SFS,5,"(0, 3, 5, 6, 7)",3
17,0.5802167487684728,SFS,3,"(0, 4, 6)",7
18,0.5957912457912458,SFS,4,"(0, 2, 4, 6)",9
19,0.6038373021281567,SBS,3,"(0, 3, 5)",6
20,0.6007006112328451,SBS,6,"(1, 2, 3, 5, 6, 7)",4
