loop,recall_3,SFS,num selected features,feature idx,n_neighbors
1,0.8,SFS,1,"(5,)",3
2,0.8,SBS,1,"(5,)",1
3,0.7428571428571429,SBS,3,"(4, 5, 7)",1
4,0.6285714285714286,SFS,4,"(1, 2, 5, 6)",9
5,0.6,SBS,5,"(2, 3, 5, 6, 7)",6
6,0.8857142857142856,SFS,4,"(1, 2, 5, 6)",2
7,0.6,SFS,6,"(1, 2, 3, 5, 6, 7)",6
8,0.7571428571428571,SFS,3,"(1, 5, 6)",6
9,0.7571428571428572,SFS,4,"(0, 1, 5, 6)",4
10,0.6,SBS,5,"(0, 1, 2, 5, 6)",9
11,0.8,SFS,1,"(5,)",9
12,0.9,SFS,2,"(1, 5)",5
13,0.7285714285714285,SFS,3,"(1, 5, 6)",8
14,0.6571428571428571,SFS,4,"(1, 2, 5, 6)",6
15,0.9428571428571428,SFS,2,"(1, 5)",2
16,0.6285714285714286,SFS,5,"(1, 2, 5, 6, 7)",1
17,0.6142857142857142,SBS,5,"(1, 4, 5, 6, 7)",7
18,0.8,SBS,1,"(5,)",7
19,0.6142857142857142,SBS,3,"(4, 5, 7)",7
20,0.5714285714285714,SFS,6,"(0, 1, 2, 5, 6, 7)",9
