loop,recall_8,SFS,num selected features,feature idx,n_neighbors
1,0.5571428571428572,SFS,1,"(0,)",9
2,0.8285714285714286,SFS,3,"(0, 4, 5)",9
3,0.8428571428571429,SFS,4,"(0, 4, 5, 6)",5
4,0.8142857142857143,SFS,3,"(0, 4, 5)",6
5,0.8428571428571429,SFS,4,"(0, 4, 5, 6)",5
6,0.7857142857142858,SFS,4,"(0, 4, 5, 6)",4
7,0.7,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
8,0.6,SFS,1,"(0,)",4
9,0.7428571428571429,SFS,6,"(0, 2, 4, 5, 6, 7)",7
10,0.7428571428571429,SFS,2,"(0, 4)",5
11,0.7714285714285714,SFS,5,"(0, 4, 5, 6, 7)",2
12,0.6857142857142857,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",8
13,0.7285714285714284,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",7
14,0.7571428571428571,SFS,2,"(0, 4)",1
15,0.7428571428571429,SFS,6,"(0, 2, 4, 5, 6, 7)",7
16,0.8428571428571429,SFS,4,"(0, 4, 5, 6)",5
17,0.8428571428571429,SFS,4,"(0, 4, 5, 7)",9
18,0.7571428571428571,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
19,0.6571428571428571,SFS,2,"(0, 4)",2
20,0.5571428571428572,SFS,1,"(0,)",9
