loop,recall_1,SFS,num selected features,feature idx,n_neighbors
1,0.9285714285714286,SFS,3,"(0, 1, 3)",3
2,1.0,SFS,1,"(3,)",3
3,0.9142857142857143,SFS,4,"(0, 1, 3, 7)",6
4,0.9142857142857143,SFS,6,"(0, 1, 2, 3, 4, 7)",7
5,1.0,SFS,1,"(3,)",8
6,0.9142857142857143,SFS,3,"(0, 3, 7)",6
7,1.0,SFS,1,"(7,)",5
8,0.9142857142857143,SFS,5,"(0, 1, 2, 3, 7)",7
9,0.9285714285714286,SFS,2,"(0, 3)",3
10,0.9,SFS,4,"(0, 1, 3, 7)",9
11,0.9,SFS,2,"(0, 7)",9
12,1.0,SFS,1,"(7,)",5
13,1.0,SFS,1,"(3,)",3
14,0.9142857142857143,SFS,5,"(0, 1, 2, 3, 7)",7
15,0.9285714285714286,SFS,6,"(0, 1, 2, 3, 4, 7)",4
16,0.9142857142857143,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
17,0.9285714285714286,SFS,3,"(0, 1, 3)",3
18,1.0,SFS,2,"(1, 7)",5
19,0.9285714285714286,SFS,4,"(0, 1, 3, 7)",2
20,0.9285714285714286,SFS,3,"(0, 3, 7)",2
