loop,precision_5,SFS,num selected features,feature idx,n_neighbors
1,0.9,SFS,5,"(0, 1, 2, 5, 6)",5
2,0.9116666666666667,SFS,5,"(0, 1, 2, 5, 6)",7
3,0.9,SFS,2,"(0, 5)",5
4,0.8947619047619048,SFS,3,"(0, 1, 4)",2
5,0.9038095238095238,SFS,5,"(0, 1, 2, 5, 6)",1
6,0.9,SFS,6,"(0, 1, 2, 3, 5, 6)",8
7,0.9038095238095238,SFS,6,"(0, 1, 2, 3, 5, 6)",1
8,0.8897058823529411,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",6
9,0.9,SFS,2,"(0, 5)",5
10,0.9116666666666667,SFS,3,"(0, 5, 6)",5
11,0.9180952380952381,SFS,3,"(1, 2, 6)",1
12,0.9,SFS,6,"(0, 1, 2, 3, 5, 6)",8
13,0.8914285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
14,0.5258636788048553,SFS,1,"(0,)",3
15,0.9180952380952381,SFS,3,"(1, 2, 6)",1
16,0.9116666666666667,SFS,4,"(0, 1, 5, 6)",8
17,0.9116666666666667,SFS,3,"(0, 5, 6)",5
18,0.9116666666666667,SFS,4,"(0, 1, 2, 5)",7
19,0.9,SFS,6,"(0, 1, 2, 3, 5, 6)",5
20,0.8897058823529411,SFS,4,"(0, 1, 2, 4)",9
