loop,f1_score_4,SFS,num selected features,feature idx,n_neighbors
1,0.8408157211716721,SFS,3,"(0, 4, 5)",6
2,0.838228214952353,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",1
3,0.7214509803921569,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
4,0.8099426713442286,SFS,6,"(0, 2, 4, 5, 6, 7)",5
5,0.8099426713442286,SFS,6,"(0, 2, 4, 5, 6, 7)",5
6,0.8411282051282051,SFS,2,"(0, 4)",2
7,0.7680351906158357,SFS,5,"(0, 1, 2, 4, 6)",4
8,0.8128290693362995,SFS,4,"(0, 4, 5, 7)",6
9,0.8408157211716721,SFS,3,"(0, 4, 5)",6
10,0.6769171688526527,SFS,1,"(0,)",6
11,0.8710155316606929,SFS,4,"(0, 2, 4, 6)",2
12,0.856205072067141,SFS,5,"(0, 1, 2, 4, 6)",1
13,0.8411282051282051,SFS,2,"(0, 4)",2
14,0.7936601033375228,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
15,0.8291114058355438,SFS,6,"(0, 1, 2, 4, 6, 7)",1
16,0.7936601033375228,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
17,0.7793006993006992,SFS,2,"(0, 4)",3
18,0.7869187986651835,SFS,6,"(0, 1, 2, 3, 4, 6)",2
19,0.8190694789081887,SFS,3,"(0, 4, 5)",9
20,0.8509833971902937,SFS,3,"(0, 4, 5)",7
