loop,precision_8,SFS,num selected features,feature idx,n_neighbors
1,0.9109890109890111,SFS,5,"(0, 2, 4, 6, 7)",1
2,0.9358974358974358,SFS,5,"(0, 3, 4, 5, 7)",9
3,0.9714285714285715,SFS,4,"(0, 4, 5, 7)",4
4,0.917142857142857,SFS,4,"(0, 2, 4, 6)",1
5,0.917142857142857,SFS,4,"(0, 2, 4, 6)",1
6,0.8156209150326799,SFS,1,"(0,)",3
7,0.9690476190476189,SFS,3,"(0, 4, 5)",5
8,0.9482517482517483,SFS,5,"(0, 1, 2, 3, 4)",3
9,0.8651515151515152,SFS,1,"(0,)",9
10,0.771095571095571,SFS,1,"(0,)",6
11,0.9482517482517483,SFS,6,"(0, 1, 2, 3, 4, 5)",3
12,0.9497668997668999,SFS,4,"(0, 4, 5, 7)",6
13,0.8046953046953046,SFS,1,"(0,)",4
14,0.950865800865801,SFS,3,"(0, 4, 5)",7
15,0.9714285714285715,SFS,4,"(0, 4, 5, 7)",4
16,0.9365800865800866,SFS,3,"(0, 2, 4)",3
17,0.7355769230769231,SFS,1,"(0,)",1
18,0.951048951048951,SFS,6,"(0, 2, 3, 4, 5, 7)",9
19,0.9277777777777778,SFS,6,"(0, 2, 3, 4, 5, 7)",8
20,0.9512820512820512,SFS,5,"(0, 3, 4, 5, 7)",6
