loop,recall_12,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,4,"(0, 1, 2, 3)",6
2,1.0,SFS,3,"(0, 1, 3)",2
3,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",5
4,1.0,SFS,4,"(0, 1, 2, 7)",8
5,1.0,SFS,2,"(0, 5)",9
6,1.0,SFS,2,"(0, 7)",7
7,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
8,1.0,SFS,3,"(0, 2, 3)",5
9,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
10,1.0,SFS,3,"(0, 1, 3)",3
11,0.5857142857142856,SFS,1,"(2,)",6
12,1.0,SFS,3,"(0, 2, 3)",4
13,1.0,SFS,2,"(0, 5)",9
14,1.0,SFS,3,"(0, 2, 3)",6
15,1.0,SFS,2,"(0, 3)",2
16,0.6142857142857142,SFS,1,"(2,)",5
17,1.0,SFS,3,"(0, 1, 7)",8
18,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",8
19,1.0,SFS,3,"(0, 1, 5)",9
20,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
