loop,recall_12,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,4,"(0, 1, 2, 7)",9
2,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",1
3,0.5428571428571428,SFS,1,"(0,)",1
4,1.0,SFS,4,"(0, 1, 2, 3)",3
5,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
6,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
7,1.0,SFS,2,"(0, 3)",7
8,1.0,SFS,2,"(0, 7)",9
9,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
10,0.5714285714285714,SFS,1,"(0,)",5
11,1.0,SFS,2,"(2, 3)",4
12,0.6571428571428571,SFS,1,"(7,)",9
13,1.0,SFS,5,"(0, 1, 2, 3, 4)",2
14,1.0,SFS,4,"(0, 1, 2, 7)",8
15,0.5428571428571428,SFS,1,"(0,)",1
16,1.0,SFS,3,"(0, 1, 3)",3
17,1.0,SFS,2,"(0, 7)",8
18,1.0,SFS,5,"(0, 1, 2, 3, 4)",7
19,1.0,SFS,5,"(0, 1, 2, 3, 4)",5
20,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",4
