loop,precision_3,SFS,num selected features,feature idx,n_neighbors
1,0.46037491919844864,SFS,6,"(0, 1, 3, 5, 6, 7)",7
2,0.4291845308306409,SFS,1,"(5,)",3
3,0.30666666666666664,SFS,1,"(4,)",1
4,0.44809739280327515,SBS,7,"(0, 1, 2, 4, 5, 6, 7)",5
5,0.4875670995670996,SFS,4,"(1, 2, 5, 6)",2
6,0.7084126984126984,SBS,4,"(1, 2, 5, 6)",1
7,0.4786096256684492,SFS,5,"(1, 2, 5, 6, 7)",4
8,0.44956140350877194,SBS,4,"(0, 5, 6, 7)",3
9,0.49190283400809715,SFS,4,"(0, 1, 5, 7)",7
10,0.4875670995670996,SFS,4,"(1, 2, 5, 6)",2
11,0.48728822055137844,SBS,4,"(1, 2, 5, 7)",4
12,0.4966035805626599,SBS,4,"(1, 3, 4, 5)",2
13,0.46949874686716797,SFS,5,"(1, 2, 3, 5, 6)",3
14,0.4786096256684492,SFS,5,"(1, 2, 5, 6, 7)",4
15,0.431286632932743,SBS,1,"(5,)",2
16,0.37313976872800403,SFS,6,"(1, 3, 4, 5, 6, 7)",8
17,0.386799452323749,SBS,2,"(5, 7)",9
18,0.3942424242424242,SBS,6,"(1, 2, 3, 5, 6, 7)",8
19,0.431286632932743,SBS,1,"(5,)",2
20,0.38078979843685723,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",8
