loop,precision_macro,SFS,num selected features,feature idx,n_neighbors
1,0.8274003006342289,SFS,6,"(0, 2, 3, 4, 5, 7)",2
2,0.7109703856211779,SFS,2,"(0, 4)",8
3,0.42095641195777384,SFS,1,"(0,)",8
4,0.8099137867130948,SFS,5,"(0, 4, 5, 6, 7)",4
5,0.8120564856830128,SFS,3,"(0, 4, 5)",4
6,0.7520831104891386,SFS,2,"(0, 4)",4
7,0.8460230437625267,SFS,4,"(0, 3, 4, 5)",1
8,0.7610667380030884,SFS,2,"(0, 4)",1
9,0.8093443716080758,SFS,4,"(0, 4, 5, 6)",4
10,0.8460230437625267,SFS,4,"(0, 3, 4, 5)",1
11,0.7642989728694163,SFS,6,"(0, 2, 3, 4, 5, 7)",9
12,0.829673301869623,SFS,4,"(0, 3, 4, 5)",3
13,0.8024283719780897,SFS,6,"(0, 2, 3, 4, 5, 6)",5
14,0.829673301869623,SFS,4,"(0, 3, 4, 5)",3
15,0.8267167917272635,SFS,6,"(0, 2, 3, 4, 5, 6)",3
16,0.822698566938232,SFS,3,"(0, 4, 5)",3
17,0.8104932340772807,SFS,4,"(0, 3, 4, 5)",5
18,0.7769752704926665,SFS,5,"(0, 3, 4, 5, 6)",6
19,0.7864334816825257,SFS,4,"(0, 4, 5, 6)",6
20,0.7922344235283947,SFS,5,"(0, 3, 4, 5, 7)",7
