loop,accuracy,SFS,num selected features,feature idx,n_neighbors
1,0.7823529411764705,SFS,5,"(0, 4, 5, 6, 7)",4
2,0.7445378151260504,SFS,6,"(0, 2, 4, 5, 6, 7)",8
3,0.8445378151260504,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
4,0.7722689075630251,SFS,4,"(0, 4, 5, 6)",7
5,0.784033613445378,SFS,6,"(0, 2, 3, 4, 5, 7)",5
6,0.7521008403361344,SFS,5,"(0, 4, 5, 6, 7)",8
7,0.7445378151260504,SFS,6,"(0, 2, 4, 5, 6, 7)",8
8,0.7865546218487394,SFS,5,"(0, 3, 4, 5, 7)",5
9,0.8563025210084033,SFS,3,"(4, 5, 6)",1
10,0.40588235294117647,SFS,1,"(6,)",8
11,0.8453781512605042,SFS,5,"(3, 4, 5, 6, 7)",1
12,0.7588235294117647,SFS,4,"(0, 4, 6, 7)",8
13,0.738655462184874,SFS,2,"(0, 4)",2
14,0.738655462184874,SFS,6,"(0, 1, 2, 4, 5, 6)",9
15,0.7722689075630251,SFS,4,"(0, 4, 5, 6)",7
16,0.8151260504201681,SFS,5,"(0, 3, 4, 5, 7)",3
17,0.846218487394958,SFS,6,"(2, 3, 4, 5, 6, 7)",1
18,0.784033613445378,SFS,6,"(0, 2, 3, 4, 5, 7)",5
19,0.7865546218487394,SFS,5,"(0, 3, 4, 5, 7)",5
20,0.7445378151260504,SFS,5,"(0, 1, 4, 5, 6)",9
