loop,recall_macro,SFS,num selected features,feature idx,n_neighbors
1,0.7571428571428571,SBS,3,"(0, 4, 5)",9
2,0.8126050420168067,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",3
3,0.4016806722689076,SFS,1,"(0,)",5
4,0.8361344537815126,SBS,5,"(0, 3, 4, 5, 6)",1
5,0.3798319327731092,SFS,1,"(6,)",3
6,0.7932773109243697,SBS,5,"(0, 2, 3, 4, 5)",5
7,0.8176470588235294,SBS,5,"(0, 2, 3, 4, 5)",3
8,0.3798319327731092,SFS,1,"(6,)",3
9,0.7336134453781513,SBS,2,"(4, 7)",7
10,0.7655462184873949,SFS,6,"(0, 3, 4, 5, 6, 7)",6
11,0.7369747899159664,SFS,6,"(0, 2, 4, 5, 6, 7)",8
12,0.7638655462184873,SFS,3,"(0, 4, 7)",8
13,0.7521008403361344,SFS,4,"(0, 4, 5, 7)",8
14,0.32857142857142857,SBS,1,"(7,)",7
15,0.3798319327731092,SFS,1,"(6,)",3
16,0.7966386554621848,SFS,3,"(0, 4, 5)",5
17,0.3697478991596639,SBS,1,"(5,)",5
18,0.7983193277310925,SBS,4,"(2, 3, 4, 5)",4
19,0.8126050420168067,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
20,0.3672268907563025,SFS,1,"(0,)",1
