loop,accuracy,SFS,num selected features,feature idx,n_neighbors
1,0.7949579831932774,SFS,6,"(0, 2, 3, 4, 5, 7)",4
2,0.8126050420168067,SFS,3,"(0, 4, 5)",3
3,0.846218487394958,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
4,0.8193277310924371,SFS,6,"(0, 2, 3, 4, 5, 6)",2
5,0.7739495798319327,SFS,3,"(0, 3, 4)",9
6,0.7722689075630251,SFS,5,"(0, 3, 4, 5, 7)",8
7,0.3764705882352941,SFS,1,"(0,)",2
8,0.8504201680672269,SFS,5,"(0, 3, 4, 5, 7)",1
9,0.8159663865546218,SFS,4,"(0, 4, 5, 6)",2
10,0.7949579831932774,SFS,6,"(0, 2, 3, 4, 5, 7)",4
11,0.7873949579831934,SFS,3,"(0, 3, 4)",7
12,0.7579831932773109,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
13,0.7890756302521009,SFS,6,"(0, 2, 3, 4, 5, 7)",5
14,0.8134453781512605,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
15,0.7739495798319327,SFS,3,"(0, 3, 4)",9
16,0.4050420168067227,SFS,1,"(0,)",9
17,0.8134453781512605,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
18,0.3764705882352941,SFS,1,"(0,)",2
19,0.7974789915966387,SFS,3,"(0, 4, 5)",4
20,0.7739495798319327,SFS,3,"(0, 3, 4)",8
