loop,f1_score_micro,SFS,num selected features,feature idx,n_neighbors
1,0.8092436974789916,SFS,6,"(0, 3, 4, 5, 6, 7)",3
2,0.7151260504201681,SFS,2,"(0, 4)",2
3,0.753781512605042,SFS,5,"(0, 4, 5, 6, 7)",8
4,0.791596638655462,SFS,3,"(0, 3, 4)",2
5,0.7588235294117647,SFS,3,"(0, 4, 5)",8
6,0.7932773109243698,SFS,5,"(0, 3, 4, 5, 7)",5
7,0.7361344537815127,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
8,0.3764705882352941,SFS,1,"(0,)",1
9,0.7285714285714286,SFS,2,"(0, 4)",3
10,0.7857142857142858,SFS,4,"(0, 3, 4, 5)",4
11,0.8100840336134454,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
12,0.7453781512605042,SFS,6,"(0, 2, 4, 5, 6, 7)",8
13,0.4235294117647059,SFS,1,"(0,)",8
14,0.7495798319327732,SFS,4,"(0, 3, 4, 5)",9
15,0.7840336134453783,SFS,6,"(0, 3, 4, 5, 6, 7)",4
16,0.7428571428571429,SFS,6,"(0, 2, 3, 4, 5, 7)",9
17,0.753781512605042,SFS,5,"(0, 4, 5, 6, 7)",8
18,0.7588235294117647,SFS,3,"(0, 4, 5)",8
19,0.3605042016806723,SFS,1,"(0,)",2
20,0.4134453781512605,SFS,1,"(0,)",6
