loop,precision_16,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,3,"(1, 5, 6)",5
2,0.7347763347763347,SFS,1,"(5,)",6
3,1.0,SFS,2,"(2, 5)",7
4,0.7126678876678876,SFS,1,"(5,)",4
5,0.8556277056277057,SFS,6,"(0, 1, 2, 3, 5, 6)",9
6,0.9818181818181818,SFS,6,"(1, 2, 3, 4, 5, 7)",3
7,0.9232323232323232,SFS,4,"(1, 2, 3, 5)",3
8,0.7448773448773449,SFS,1,"(5,)",8
9,0.926969696969697,SFS,4,"(1, 2, 5, 6)",7
10,1.0,SFS,2,"(0, 5)",2
11,0.9818181818181818,SFS,6,"(1, 2, 3, 4, 5, 7)",3
12,0.8556277056277057,SFS,6,"(0, 1, 2, 3, 5, 6)",9
13,1.0,SFS,4,"(0, 1, 2, 5)",2
14,0.9180952380952381,SFS,4,"(1, 2, 3, 5)",4
15,0.9664335664335665,SFS,6,"(0, 1, 2, 3, 5, 7)",1
16,0.9846153846153847,SFS,6,"(0, 1, 2, 4, 5, 7)",2
17,0.9577777777777777,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",4
18,0.7132501485442662,SFS,1,"(5,)",3
19,1.0,SFS,2,"(1, 5)",4
20,0.9292307692307691,SFS,5,"(0, 1, 2, 5, 6)",8
