,k,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection__k_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.0,1.43777437210083,0.07116425812644454,0.001398754119873047,0.0004905164166103483,1,{'feature_selection__k_features': 1},0.36176470588235293,0.4117647058823529,0.37058823529411766,0.38235294117647056,0.4411764705882353,0.39352941176470585,0.029199232108213773,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,,2.7841678142547606,0.10168934822554263,0.0009958744049072266,2.8729191458496223e-06,2,{'feature_selection__k_features': 2},0.6852941176470588,0.7764705882352941,0.7764705882352941,0.7705882352941177,0.788235294117647,0.7594117647058823,0.037499711648257,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,,3.996916151046753,0.10483273223589973,0.0011973857879638671,0.00039825636422010014,3,{'feature_selection__k_features': 3},0.8411764705882353,0.9088235294117647,0.8735294117647059,0.8735294117647059,0.8941176470588236,0.8782352941176471,0.022827774014037946,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,,5.567528533935547,0.14288253248599103,0.0013957977294921874,0.0004888319471422868,4,{'feature_selection__k_features': 4},0.8911764705882353,0.9176470588235294,0.8941176470588236,0.9058823529411765,0.8941176470588236,0.9005882352941177,0.009913117380207446,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,,7.190986013412475,0.2861073656736513,0.0013957500457763671,0.0004875080685144132,5,{'feature_selection__k_features': 5},0.9058823529411765,0.9411764705882353,0.9058823529411765,0.9205882352941176,0.9117647058823529,0.9170588235294117,0.01320584960037861,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,,8.892638778686523,0.11719903169743832,0.0015954971313476562,0.0004901771182263266,6,{'feature_selection__k_features': 6},0.9029411764705882,0.9352941176470588,0.9117647058823529,0.9294117647058824,0.9147058823529411,0.9188235294117648,0.011852612752711706,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,,10.99085111618042,0.7500947431854884,0.002193927764892578,0.00039994763190957284,7,{'feature_selection__k_features': 7},0.9,0.9323529411764706,0.9088235294117647,0.9205882352941176,0.9117647058823529,0.9147058823529411,0.011004874666982177,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,,11.687767362594604,0.08046883463307503,0.001994037628173828,6.14361702286011e-07,8,{'feature_selection__k_features': 8},0.9117647058823529,0.9294117647058824,0.9029411764705882,0.9205882352941176,0.9088235294117647,0.9147058823529411,0.009300816647554059,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,,13.410547256469727,0.10389707969267067,0.002393770217895508,0.0004885781445373271,9,{'feature_selection__k_features': 9},0.9147058823529411,0.9205882352941176,0.9,0.9205882352941176,0.9147058823529411,0.9141176470588235,0.007533087338156266,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,,15.810540342330933,0.7674381679691558,0.002393341064453125,0.0004892202053495717,10,{'feature_selection__k_features': 10},0.9058823529411765,0.9176470588235294,0.9029411764705882,0.9147058823529411,0.9058823529411765,0.9094117647058824,0.005703152773430954,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
