loop,f1_score_7,SFS,num selected features,feature idx,n_neighbors
1,0.3435654989965335,SFS,1,"(5,)",9
2,0.4756610225353273,SFS,4,"(1, 4, 5, 7)",8
3,0.8998534798534799,SFS,2,"(1, 5)",7
4,0.34400656814449915,SFS,1,"(5,)",5
5,0.8967664519388657,SFS,2,"(1, 5)",3
6,0.5449312169312168,SFS,3,"(0, 2, 5)",2
7,0.4017308609077241,SFS,1,"(5,)",8
8,0.8967664519388657,SFS,2,"(1, 5)",3
9,0.6503023922282034,SFS,6,"(1, 2, 3, 5, 6, 7)",1
10,0.4926807563959955,SFS,5,"(1, 2, 3, 5, 7)",5
11,0.5566188441188442,SFS,3,"(1, 5, 7)",6
12,0.41518142913654826,SFS,5,"(0, 1, 2, 3, 5)",2
13,0.5960248447204969,SFS,3,"(1, 5, 6)",4
14,0.9009852216748768,SFS,2,"(1, 5)",4
15,0.4078292078292079,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",4
16,0.7787230011367943,SFS,4,"(1, 5, 6, 7)",1
17,0.4136426260138598,SFS,5,"(1, 3, 4, 5, 7)",9
18,0.49648584455886685,SFS,6,"(1, 3, 4, 5, 6, 7)",3
19,0.5384003831417624,SFS,3,"(1, 5, 7)",9
20,0.41518142913654826,SFS,5,"(0, 1, 2, 3, 5)",2
