loop,f1_score_8,SFS,num selected features,feature idx,n_neighbors
1,0.751900691900692,SFS,6,"(0, 1, 4, 5, 6, 7)",8
2,0.8556960408684547,SFS,3,"(0, 4, 5)",4
3,0.8525062523683212,SFS,5,"(0, 4, 5, 6, 7)",2
4,0.8818744473916886,SFS,3,"(0, 4, 5)",3
5,0.8556960408684547,SFS,3,"(0, 4, 5)",4
6,0.8484940069647717,SFS,4,"(0, 1, 4, 5)",4
7,0.8455683269476374,SFS,5,"(0, 3, 4, 5, 7)",5
8,0.9005320197044335,SFS,3,"(0, 4, 5)",1
9,0.8484940069647717,SFS,4,"(0, 1, 4, 5)",4
10,0.8227128427128427,SFS,6,"(0, 2, 4, 5, 6, 7)",3
11,0.7492556139512662,SFS,2,"(0, 4)",8
12,0.8306552706552706,SFS,6,"(0, 3, 4, 5, 6, 7)",2
13,0.8818744473916886,SFS,3,"(0, 4, 5)",3
14,0.7519434727080905,SFS,2,"(0, 4)",5
15,0.8055586814207505,SFS,5,"(0, 4, 5, 6, 7)",9
16,0.7058550724637681,SFS,1,"(0,)",8
17,0.8755286581373539,SFS,3,"(0, 4, 7)",2
18,0.6664615384615384,SFS,1,"(0,)",5
19,0.7492556139512662,SFS,2,"(0, 4)",8
20,0.8621521620142311,SFS,6,"(0, 1, 2, 4, 5, 6)",1
