loop,precision_7,SFS,num selected features,feature idx,n_neighbors
1,0.5240769687828511,SBS,3,"(3, 5, 7)",6
2,0.5279797979797979,SBS,4,"(3, 5, 6, 7)",5
3,0.546984126984127,SBS,6,"(1, 3, 4, 5, 6, 7)",8
4,0.5333333333333333,SFS,2,"(2, 5)",9
5,0.459090909090909,SFS,4,"(0, 2, 3, 5)",6
6,0.6526473526473527,SBS,6,"(1, 2, 3, 4, 5, 7)",2
7,0.7555555555555555,SFS,3,"(1, 5, 6)",2
8,0.3464468864468865,SFS,1,"(5,)",4
9,0.5722222222222222,SBS,6,"(1, 3, 4, 5, 6, 7)",5
10,0.5948717948717949,SFS,5,"(0, 2, 3, 5, 7)",3
11,0.48588721220300163,SFS,6,"(0, 1, 2, 3, 5, 7)",6
12,0.4666666666666667,SFS,4,"(1, 2, 3, 5)",9
13,0.7123809523809524,SBS,4,"(3, 4, 5, 7)",1
14,0.6526473526473527,SBS,5,"(2, 3, 4, 5, 7)",2
15,0.4666666666666667,SFS,4,"(1, 2, 3, 5)",9
16,0.4918181818181818,SFS,3,"(0, 2, 5)",6
17,0.5253571428571429,SBS,5,"(3, 4, 5, 6, 7)",6
18,0.5030677655677656,SBS,6,"(1, 2, 3, 4, 5, 7)",7
19,0.6297952047952048,SBS,4,"(2, 3, 4, 5)",2
20,0.6552680652680652,SBS,3,"(3, 4, 5)",2
