loop,precision_15,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,4,"(0, 3, 4, 6)",5
2,0.40240259740259743,SFS,1,"(6,)",4
3,1.0,SFS,5,"(0, 1, 3, 4, 6)",5
4,0.4133333333333333,SFS,1,"(1,)",3
5,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
6,0.7828438228438228,SFS,2,"(1, 6)",3
7,0.37156177156177156,SFS,1,"(6,)",8
8,1.0,SFS,4,"(1, 3, 4, 6)",4
9,1.0,SFS,5,"(0, 1, 3, 4, 6)",3
10,0.9846153846153847,SFS,3,"(3, 4, 6)",7
11,1.0,SFS,4,"(3, 4, 6, 7)",8
12,1.0,SFS,5,"(0, 1, 3, 4, 6)",3
13,0.8638736263736263,SFS,2,"(6, 7)",6
14,1.0,SFS,4,"(0, 3, 4, 6)",5
15,0.6763369963369964,SFS,2,"(0, 4)",1
16,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",9
17,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",9
18,0.9703296703296704,SFS,5,"(0, 2, 3, 4, 7)",1
19,0.8945165945165945,SFS,2,"(5, 6)",2
20,0.45296918767507,SFS,1,"(6,)",5
