loop,f1_score_15,SFS,num selected features,feature idx,n_neighbors
1,0.8918140709864847,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",7
2,0.8942905982905982,SFS,4,"(2, 4, 5, 7)",7
3,0.9251109146281561,SFS,5,"(0, 2, 3, 4, 7)",2
4,0.9179487179487179,SFS,3,"(0, 3, 4)",5
5,0.8797720797720798,SFS,4,"(0, 3, 4, 5)",9
6,0.915873015873016,SBS,7,"(0, 1, 2, 3, 4, 5, 6)",2
7,0.7103149723839378,SFS,2,"(0, 4)",4
8,0.9157775812948227,SFS,6,"(0, 2, 3, 4, 5, 7)",2
9,0.9157775812948227,SFS,6,"(0, 2, 3, 4, 5, 7)",2
10,0.9292079772079772,SBS,4,"(0, 2, 4, 5)",3
11,0.7103149723839378,SFS,2,"(0, 4)",4
12,0.8942905982905982,SFS,4,"(2, 4, 5, 7)",7
13,0.8992820512820513,SFS,3,"(3, 4, 5)",9
14,0.9159257294429708,SFS,3,"(2, 4, 5)",3
15,0.9309450549450549,SBS,4,"(0, 2, 4, 7)",5
16,0.909105413105413,SBS,2,"(4, 7)",4
17,0.9092553997726412,SBS,2,"(4, 7)",1
18,0.8975934767658904,SBS,4,"(0, 2, 4, 5)",8
19,0.8836630036630035,SFS,6,"(1, 2, 3, 4, 5, 7)",8
20,0.9102450142450141,SBS,3,"(4, 5, 7)",6
