loop,precision_7,SFS,num selected features,feature idx,n_neighbors
1,0.5086324786324786,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
2,0.3057326007326007,SFS,1,"(2,)",3
3,0.3807643337055102,SFS,1,"(5,)",1
4,0.7257142857142858,SFS,5,"(1, 4, 5, 6, 7)",1
5,0.7273359973359974,SFS,6,"(1, 3, 4, 5, 6, 7)",1
6,0.6056476856476857,SFS,5,"(1, 2, 3, 5, 6)",3
7,0.5553535353535354,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",9
8,0.6693528693528694,SFS,6,"(1, 2, 3, 5, 6, 7)",2
9,0.7523809523809523,SFS,3,"(1, 5, 6)",5
10,0.3373015873015873,SFS,1,"(5,)",5
11,0.4395104895104895,SFS,4,"(1, 2, 3, 5)",9
12,0.5086324786324786,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
13,0.30692307692307697,SFS,1,"(2,)",6
14,0.5285714285714287,SFS,3,"(1, 2, 5)",8
15,0.793887093298858,SFS,2,"(2, 5)",3
16,0.5374942704354468,SFS,3,"(1, 2, 5)",7
17,0.33622260092848333,SFS,1,"(2,)",8
18,0.3152380952380952,SFS,1,"(2,)",9
19,0.3057326007326007,SFS,1,"(2,)",3
20,0.46746411483253586,SFS,4,"(1, 2, 3, 5)",7
