loop,f1_score_12,SFS,num selected features,feature idx,n_neighbors
1,0.9728735632183909,SFS,2,"(0, 3)",6
2,0.9862068965517242,SFS,5,"(0, 1, 2, 5, 6)",3
3,0.9793103448275863,SBS,2,"(5, 6)",8
4,0.9728735632183909,SFS,5,"(0, 1, 2, 3, 6)",9
5,0.9862068965517242,SFS,4,"(1, 2, 3, 6)",4
6,0.41628985507246374,SBS,1,"(6,)",3
7,0.993103448275862,SBS,4,"(1, 2, 3, 4)",2
8,0.9724137931034484,SFS,6,"(0, 1, 2, 3, 6, 7)",7
9,0.6318222533232675,SFS,1,"(2,)",4
10,0.9664367816091953,SFS,6,"(0, 1, 2, 3, 5, 6)",8
11,1.0,SBS,3,"(0, 1, 3)",1
12,0.9862068965517242,SFS,4,"(1, 2, 3, 6)",4
13,0.9862068965517242,SFS,3,"(2, 3, 6)",4
14,0.993103448275862,SBS,2,"(5, 6)",4
15,0.9659770114942529,SBS,7,"(0, 1, 2, 3, 5, 6, 7)",6
16,0.993103448275862,SBS,6,"(1, 2, 3, 4, 5, 6)",2
17,0.6318222533232675,SFS,1,"(2,)",4
18,0.9793103448275863,SBS,6,"(0, 1, 2, 3, 5, 6)",3
19,0.9728735632183909,SFS,2,"(0, 3)",8
20,0.9659770114942529,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",7
