loop,precision_16,SFS,num selected features,feature idx,n_neighbors
1,0.6135497835497835,SFS,1,"(4,)",4
2,0.9080808080808082,SFS,6,"(0, 1, 2, 5, 6, 7)",8
3,1.0,SFS,2,"(1, 5)",8
4,1.0,SFS,3,"(1, 2, 5)",6
5,0.9846153846153847,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",1
6,1.0,SFS,4,"(0, 3, 4, 5)",2
7,0.96,SFS,2,"(4, 5)",3
8,0.9596153846153846,SFS,3,"(3, 4, 6)",1
9,1.0,SFS,3,"(1, 2, 5)",9
10,0.9577777777777777,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",9
11,0.9636363636363636,SFS,5,"(0, 1, 2, 5, 6)",7
12,1.0,SFS,3,"(1, 2, 5)",8
13,0.9623931623931623,SFS,4,"(3, 4, 5, 7)",4
14,0.9666666666666666,SFS,4,"(1, 3, 4, 5)",3
15,0.6135497835497835,SFS,1,"(4,)",4
16,0.6406349206349207,SFS,1,"(4,)",3
17,0.9118181818181817,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",8
18,0.7345238095238096,SFS,1,"(4,)",2
19,0.975,SFS,2,"(4, 5)",2
20,0.5814802844214609,SFS,1,"(5,)",7
