loop,precision_2,SFS,num selected features,feature idx,n_neighbors
1,0.7218300653594772,SFS,3,"(0, 4, 7)",6
2,0.6050213675213676,SBS,7,"(0, 1, 2, 3, 4, 6, 7)",5
3,0.58,SFS,5,"(0, 2, 4, 6, 7)",8
4,0.26666666666666666,SFS,1,"(4,)",2
5,0.6973315642046292,SBS,5,"(2, 3, 4, 6, 7)",2
6,0.7661363636363636,SFS,4,"(0, 2, 4, 5)",3
7,0.6887745098039215,SBS,4,"(0, 2, 4, 5)",4
8,0.7965542300836418,SBS,3,"(0, 4, 7)",3
9,0.23119429590017826,SBS,1,"(0,)",1
10,0.7116578983452048,SFS,2,"(2, 4)",9
11,0.6756941373040444,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",2
12,0.8404481792717086,SBS,2,"(4, 7)",2
13,0.58,SFS,5,"(0, 2, 4, 6, 7)",8
14,0.7743782249742003,SBS,3,"(4, 6, 7)",2
15,0.743984962406015,SBS,2,"(4, 7)",8
16,0.6128992713512837,SBS,4,"(0, 2, 4, 7)",8
17,0.7623784059078176,SFS,5,"(0, 2, 4, 5, 7)",3
18,0.3155067155067155,SFS,1,"(6,)",7
19,0.6843223443223443,SFS,5,"(0, 2, 4, 5, 6)",5
20,0.29292609351432886,SFS,1,"(2,)",8
