loop,f1_score_14,SFS,num selected features,feature idx,n_neighbors
1,0.8367016125636816,SFS,5,"(0, 2, 4, 5, 7)",9
2,0.8737474632647046,SFS,3,"(2, 4, 5)",4
3,0.8402197802197803,SFS,4,"(0, 4, 5, 7)",8
4,0.8332095490716181,SFS,3,"(0, 4, 7)",5
5,0.30410380753091754,SFS,1,"(4,)",1
6,0.8737474632647046,SFS,3,"(2, 4, 5)",4
7,0.8716857956857957,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",3
8,0.8551208791208792,SFS,5,"(0, 2, 4, 5, 7)",5
9,0.8367016125636816,SFS,5,"(0, 2, 4, 5, 7)",9
10,0.8452991452991452,SFS,2,"(4, 5)",3
11,0.8737474632647046,SFS,3,"(2, 4, 5)",4
12,0.8577565576186267,SFS,5,"(0, 1, 2, 4, 5)",6
13,0.8612063492063491,SFS,6,"(0, 1, 2, 3, 4, 5)",2
14,0.3314940868726476,SFS,1,"(4,)",8
15,0.8429417428038117,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",4
16,0.31318617614269784,SFS,1,"(5,)",6
17,0.8105445665445664,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",9
18,0.8737474632647046,SFS,3,"(2, 4, 5)",4
19,0.8429417428038117,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",4
20,0.7963736263736264,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
