loop,recall_16,SFS,num selected features,feature idx,n_neighbors
1,0.7,SFS,4,"(0, 1, 2, 5)",3
2,0.7571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
3,0.6571428571428571,SFS,4,"(1, 2, 4, 6)",6
4,0.8714285714285713,SFS,3,"(0, 1, 5)",1
5,0.4999999999999999,SFS,1,"(4,)",4
6,0.6,SFS,4,"(1, 2, 4, 5)",5
7,0.7,SFS,6,"(1, 2, 3, 4, 5, 6)",4
8,0.7571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
9,0.6285714285714286,SFS,2,"(4, 6)",8
10,0.7285714285714285,SFS,3,"(0, 1, 5)",3
11,0.5285714285714286,SFS,1,"(4,)",8
12,0.8,SFS,5,"(0, 1, 2, 5, 6)",1
13,0.8714285714285713,SFS,4,"(0, 1, 2, 5)",1
14,0.6714285714285715,SFS,3,"(1, 3, 5)",9
15,0.7857142857142857,SFS,6,"(0, 1, 2, 4, 5, 6)",1
16,0.6571428571428571,SFS,3,"(2, 4, 6)",6
17,0.8285714285714285,SFS,2,"(1, 5)",9
18,0.6,SFS,4,"(1, 2, 4, 5)",5
19,0.6428571428571429,SFS,4,"(1, 3, 5, 7)",9
20,0.7142857142857143,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",4
