loop,f1_score_8,SFS,num selected features,feature idx,n_neighbors
1,0.7351999214068179,SFS,2,"(0, 6)",1
2,0.7530465949820788,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
3,0.8324786324786325,SFS,4,"(0, 4, 5, 7)",6
4,0.7654207202594299,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",3
5,0.8344810744810746,SBS,3,"(0, 4, 5)",8
6,0.7638629816605346,SBS,5,"(0, 1, 4, 5, 6)",9
7,0.3390725178960473,SBS,1,"(5,)",5
8,0.7489736029224349,SFS,2,"(0, 4)",3
9,0.8160699300699301,SBS,6,"(0, 2, 4, 5, 6, 7)",2
10,0.8547176960970064,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",1
11,0.8945119503740193,SFS,3,"(0, 4, 5)",3
12,0.9856960408684546,SBS,3,"(4, 5, 7)",1
13,0.8717934683451926,SFS,3,"(0, 4, 7)",9
14,0.8378005136625827,SFS,4,"(0, 4, 5, 7)",9
15,0.7611111111111111,SBS,6,"(2, 3, 4, 5, 6, 7)",5
16,0.6354946792338098,SFS,1,"(0,)",2
17,0.8895889295889295,SFS,3,"(0, 4, 5)",2
18,0.5975523349436394,SFS,1,"(0,)",3
19,0.8653772893772894,SFS,3,"(0, 4, 6)",4
20,0.7832259694328659,SFS,2,"(0, 4)",9
