loop,recall_16,SFS,num selected features,feature idx,n_neighbors
1,0.8142857142857143,SFS,2,"(1, 5)",2
2,0.6857142857142857,SBS,6,"(2, 3, 4, 5, 6, 7)",6
3,0.5571428571428572,SFS,5,"(0, 1, 2, 4, 5)",8
4,0.2857142857142857,SBS,1,"(5,)",2
5,0.6142857142857142,SBS,6,"(0, 2, 3, 4, 5, 6)",8
6,0.7714285714285715,SFS,5,"(1, 2, 3, 4, 5)",3
7,0.6571428571428573,SBS,5,"(2, 3, 4, 6, 7)",6
8,0.7142857142857143,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",5
9,0.8142857142857143,SFS,2,"(1, 5)",2
10,0.6285714285714286,SBS,2,"(3, 5)",2
11,0.6142857142857142,SFS,4,"(1, 2, 5, 6)",5
12,0.6285714285714286,SBS,2,"(3, 5)",2
13,0.7428571428571429,SBS,4,"(0, 2, 4, 6)",4
14,0.6428571428571429,SBS,2,"(4, 6)",6
15,0.41428571428571426,SBS,1,"(4,)",9
16,0.7857142857142858,SBS,3,"(0, 4, 6)",3
17,0.6714285714285715,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",7
18,0.5428571428571429,SFS,1,"(5,)",7
19,0.6142857142857142,SFS,4,"(1, 2, 5, 6)",5
20,0.7142857142857142,SBS,6,"(0, 2, 3, 4, 5, 6)",5
