loop,accuracy,SFS,num selected features,feature idx,n_neighbors
1,0.8025210084033614,SBS,4,"(33, 44, 64, 69)",8
2,0.8285714285714285,SFS,3,"(0, 3, 56)",7
3,0.8336134453781512,SFS,6,"(0, 3, 17, 56, 63, 78)",9
4,0.869747899159664,SFS,5,"(0, 3, 4, 70, 102)",5
5,0.8470588235294118,SBS,3,"(0, 33, 111)",1
6,0.4352941176470589,SBS,1,"(3,)",5
7,0.8226890756302522,SFS,3,"(0, 6, 96)",3
8,0.8109243697478992,SBS,3,"(0, 3, 78)",7
9,0.6663865546218487,SFS,2,"(2, 96)",2
10,0.7983193277310925,SBS,3,"(3, 44, 64)",6
11,0.8453781512605042,SFS,6,"(0, 24, 51, 58, 62, 96)",6
12,0.7747899159663865,SFS,3,"(2, 6, 96)",4
13,0.8655462184873951,SFS,4,"(0, 6, 69, 96)",3
14,0.8352941176470587,SBS,4,"(0, 3, 65, 84)",5
15,0.9310924369747898,SFS,7,"(0, 3, 24, 64, 71, 82, 104)",1
16,0.4470588235294118,SFS,1,"(96,)",4
17,0.45966386554621846,SFS,1,"(67,)",8
18,0.8470588235294118,SBS,3,"(0, 33, 111)",1
19,0.6949579831932773,SFS,2,"(0, 3)",9
20,0.834453781512605,SFS,5,"(0, 8, 42, 67, 78)",8
